Gene_ID,SC_Control_1_FPKM,SC_Control_2_FPKM,SC_Control_3_FPKM,SC_cAMP_1_FPKM,SC_cAMP_2_FPKM,SC_cAMP_3_FPKM,Control_Average_FPKM,cAMP_Average_FPKM,Fold_Change,Log2FC,edgeR,DESeq2,Change,Expressed
ENSRNOG00000000001,1.9713898104223782,1.9176206914740679,2.0508286551007626,1.8748730893255083,1.2548867542733126,1.6761888050114448,1.9355437311235046,1.6019828828700886,0.8276655583184382,-0.27288017115512975,0.362496408,0.268450918,Nondifferential,Expressed
ENSRNOG00000000010,1.240081165761133,1.09881828079286,1.009335553711489,0.0,0.012117564402966522,0.0,1.1459059091156176,0.004039188134322174,0.0035248863821982744,-8.148207528847346,2.1499999999999996e-47,3.6299999999999994e-15,Downregulated,Expressed
ENSRNOG00000000017,2.4923999746054353,2.354485240486395,2.439493763123891,0.3418810475384083,0.4396025161063698,0.3051353196464664,2.4004568185260755,0.3622062944304148,0.15089056867634723,-2.7284254609849117,1.4400000000000003e-25,3.23e-18,Downregulated,Expressed
ENSRNOG00000000021,7.510431923477712,5.942938323181501,8.196699044096274,5.470096760614533,5.84902716166791,5.332826509513627,6.465436189946904,5.550650143932024,0.8585113178539633,-0.22009094131905887,0.055833658,0.029779871,Nondifferential,Expressed
ENSRNOG00000000024,10.213676732093083,9.552982199284735,8.703158163581731,3.571186836810493,4.378160453798002,2.6592700028873555,9.773213710220851,3.5362057644986167,0.36182630088201634,-1.4666308146978142,1.3900000000000001e-13,2.2e-12,Downregulated,Expressed
ENSRNOG00000000033,6.261807923159758,6.590362392536902,6.74389799879074,6.316641663620079,5.865138189410427,6.219396597295414,6.480844236077854,6.133725483441974,0.9464392693310658,-0.07941816016375629,0.8082245229999999,0.42312302700000004,Nondifferential,Expressed
ENSRNOG00000000034,1.2344965439437008,1.3181063131931758,1.7594901799004175,0.06088455524857915,0.07210688410641783,0.06270071584976218,1.2902363901100173,0.06523071840158638,0.05055718386304715,-4.305940085040723,4.989999999999999e-44,4.5099999999999995e-28,Downregulated,Expressed
ENSRNOG00000000040,4.064102209862553,4.500050835564642,3.9003554603439063,0.28248704323354323,0.25808564183747434,0.32727770164863157,4.354734626997279,0.28928346223988305,0.0664296419916069,-3.9120290504344957,7.869999999999998e-95,2.0699999999999993e-85,Downregulated,Expressed
ENSRNOG00000000042,32.60856084230929,41.75272455275665,25.533102747476157,21.785203194530094,16.31741734035424,19.751663105337332,38.704669982607534,19.284761213407222,0.498254118225865,-1.005046365448761,4.59e-05,0.000101535,Downregulated,Expressed
ENSRNOG00000000043,10.440665424218585,9.661278639398738,10.231134803298215,10.745286897690516,9.955888529797814,11.20544599919622,9.921074234338688,10.635540475561518,1.0720150080875244,0.10032510350266348,0.8469185440000001,0.662132545,Nondifferential,Expressed
ENSRNOG00000000044,8.932479059055158,7.898952846383034,8.459503471804918,10.93857920906716,10.540382129386252,12.116055216172965,8.243461583940409,11.198338851542125,1.3584510266122054,0.4419625560366963,0.002579789,0.001305489,Upregulated,Expressed
ENSRNOG00000000047,142.26233490410868,138.61131904475852,137.27152705892985,10.621860081753155,10.53716621334117,7.884499547176011,139.82832433120856,9.681175280756777,0.06923615316897577,-3.8523306204459,4.3199999999999984e-163,2.119999999999999e-196,Downregulated,Expressed
ENSRNOG00000000048,33.815593277736795,33.671924515919834,31.176434463701977,30.982064622736587,32.242332638518235,32.45949505447514,33.71981410319216,31.894630771909988,0.9458720820436141,-0.0802830054871985,1.0,0.617966452,Nondifferential,Expressed
ENSRNOG00000000054,4.892442614147875,3.5561777500992844,4.956679966575614,5.142310959068778,5.249787631397578,5.295703925885438,4.0015993714488145,5.229267505450598,1.3067943639638506,0.38603213774372763,0.27308281100000004,0.235014594,Nondifferential,Expressed
ENSRNOG00000000062,38.38503372818134,35.83993352706443,40.66680088451965,34.312655038380946,31.196728378565478,36.752968149799926,36.68830026077007,34.08745052224878,0.9291095602675734,-0.10607936616422449,0.387652668,0.14186786,Nondifferential,Expressed
