Gene_ID,SC_Control_1_RCPM,SC_Control_2_RCPM,SC_Control_3_RCPM,SC_cAMP_1_RCPM,SC_cAMP_2_RCPM,SC_cAMP_3_RCPM
ENSRNOG00000000001,2.7914879715580874,2.71535089912728,2.9039733756226798,2.65482029448492,1.7769196440510107,2.373483347896206
ENSRNOG00000000007,0.07975679918737393,0.059678041739061105,0.06245104033597161,0.029173849389944176,0.0,0.0
ENSRNOG00000000008,0.6380543934989914,0.596780417390611,0.5620593630237445,0.1458692469497209,0.08884598220255054,0.12017637204537751
ENSRNOG00000000009,0.07975679918737393,0.11935608347812221,0.06245104033597161,0.1166953975597767,0.05923065480170036,0.18026455806806627
ENSRNOG00000000010,3.030758369120209,2.6855118782577496,2.4668160932708787,0.0,0.02961532740085018,0.0
ENSRNOG00000000012,0.0,0.0,0.0,0.1166953975597767,0.1480766370042509,0.09013227903403313
ENSRNOG00000000017,3.190271967494957,3.013741107822586,3.1225520167985805,0.43760774084916265,0.5626912206161534,0.39057320914747695
ENSRNOG00000000021,9.012518308173254,7.131525987817802,9.836038852915529,6.56411611273744,7.018832594001492,6.399391811416352
ENSRNOG00000000024,10.846924689482854,10.145267095640389,9.242753969723799,3.792600420692743,4.649606401933478,2.8241447430663715
ENSRNOG00000000033,23.049714965151065,24.25912396692834,24.824288533548714,23.25155796378551,21.589573675219782,22.893598874644418
ENSRNOG00000000034,3.5491775638381395,3.7895556504303802,5.0585342672137,0.17504309633966506,0.20730729180595125,0.18026455806806627
ENSRNOG00000000035,0.03987839959368696,0.0,0.031225520167985805,0.0,0.02961532740085018,0.0
ENSRNOG00000000036,0.0,0.0,0.0,0.05834769877988835,0.11846130960340072,0.030044093011344378
ENSRNOG00000000040,16.78880622894221,18.589710001717535,16.112368406680677,1.1669539755977671,1.0661517864306065,1.351984185510497
ENSRNOG00000000041,0.27914879715580876,0.20887314608671387,0.031225520167985805,1.6920832646167623,1.154997768633157,0.9313668833516757
ENSRNOG00000000042,79.95619118534236,102.37768060335932,62.607167936811535,53.41731823298779,40.01030731854859,48.43107793428714
ENSRNOG00000000043,26.957798125332385,24.94542144692754,26.41679006211599,27.74433076983691,25.706104183937956,28.932461569924637
ENSRNOG00000000044,20.1784701944056,17.843734479979272,19.11001834280731,24.710250433282717,23.810723230283543,27.37016873333473
ENSRNOG00000000047,257.49482617643673,250.88648747101288,248.46146397666305,19.22556674797321,19.072270846147514,14.27094418038858
ENSRNOG00000000048,150.58083686576197,149.94107986939102,138.8286626668649,137.96313376504602,143.57510723932168,144.5421314775778
ENSRNOG00000000053,0.11963519878106088,0.059678041739061105,0.12490208067194322,0.0,0.05923065480170036,0.060088186022688755
ENSRNOG00000000054,9.770207900453306,7.101686966948272,9.8984898932515,10.26919498526035,10.483825899900964,10.575520739993221
ENSRNOG00000000055,0.0,0.0,0.09367656050395741,0.0,0.0,0.0
ENSRNOG00000000060,0.35890559634318264,0.20887314608671387,0.31225520167985804,0.05834769877988835,0.08884598220255054,0.18026455806806627
ENSRNOG00000000062,55.3512186360375,51.681184146026915,58.64152687547734,49.478848565345324,44.985682321891424,52.99778007201149
ENSRNOG00000000064,23.927039756212178,24.40831907127599,32.22473681336135,42.360429314198946,51.61951565968186,44.10472854065355
ENSRNOG00000000065,0.0,0.08951706260859166,0.09367656050395741,0.05834769877988835,0.05923065480170036,0.060088186022688755
ENSRNOG00000000066,56.986233019378666,62.36355361731886,51.553333797344564,60.41904208657439,66.9306399259214,68.14000294972905
ENSRNOG00000000068,149.78326887388823,148.47896784678403,144.88641357945414,45.919638939772135,46.55529467413648,47.5898433299695
ENSRNOG00000000070,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000073,63.446533753555954,55.41106175471823,63.73128666285903,89.884629970418,92.54789812765681,86.52698787267181
ENSRNOG00000000075,55.43097543522488,44.937565429513015,52.708678043560035,60.477389785354276,60.770651826544565,66.96828332228662
ENSRNOG00000000081,360.85963792327334,429.234315208197,366.8061854133292,46.59063747574085,43.35683931484466,46.35803551650438
ENSRNOG00000000082,63.486412153149644,53.91911071124171,65.51114131243422,44.373424922105094,44.48222175607697,46.20781505144765
