Ensembl_ID,SC_Control_1_FPKM,SC_Control_2_FPKM,SC_Control_3_FPKM,SC_VitC_1_FPKM,SC_VitC_2_FPKM,SC_VitC_3_FPKM,Control_Average_FPKM,VitC_Average_FPKM,Fold_Change,Log2FC,edgeR,DESeq2,Change,Expressed
ENSRNOG00000000001,0.7151562883386348,0.4860080037031121,0.7542846603605825,0.7257238593121556,0.9034966976748879,0.6440596582723275,0.5623907652482864,0.7577600717531237,1.347390673135582,0.43016821789514564,0.750786018,0.6209275,Nondifferential,Expressed
ENSRNOG00000000008,2.411374370827721,2.3823095734712036,2.4454884466412934,4.776367988816496,4.66017550468517,5.024550133138839,2.39199783925671,4.820364542213501,2.0152043881909956,1.010926168716399,3.4700000000000004e-12,1.4400000000000002e-09,Upregulated,Expressed
ENSRNOG00000000017,0.6645589809386763,0.8448728421517494,0.9069863103520591,0.7064921770403834,1.63553436295011,1.1577978700661138,0.7847682217473917,1.1666081366855356,1.4865639361491043,0.5719815139563671,0.252554868,0.24696734,Nondifferential,Expressed
ENSRNOG00000000021,12.793287810832169,13.681819601390753,14.473082883057925,11.817687325039138,14.764231187520005,14.123154873148357,13.385642337871225,13.568357795235833,1.0136501075370632,0.019559747772553593,1.0,0.76747356,Nondifferential,Expressed
ENSRNOG00000000024,15.943217521362628,15.21282195718313,15.348053089076197,13.004971558873825,14.711481582342621,14.026188113486244,15.456287145242962,13.914213751567564,0.9002300242493873,-0.15163441295287836,0.965843667,0.620496896,Nondifferential,Expressed
ENSRNOG00000000033,5.590132492019053,5.421742098360391,5.336361509122726,7.537591575447522,7.267066866680436,7.587516186085163,5.477872229579945,7.4640582094043735,1.3625834806988066,0.4463446214497265,5.88e-06,1.6e-06,Upregulated,Expressed
ENSRNOG00000000040,5.334183002008266,5.711690700227051,4.912436335594555,8.816032307145065,9.347167525744084,8.600714366640752,5.58585480082079,8.921304733176633,1.5971243527249814,0.6754766459208891,2.1600000000000004e-13,4.65e-14,Upregulated,Expressed
ENSRNOG00000000042,43.29829165640383,41.270925290457896,38.691769674111725,33.64507902880141,22.894121274139412,22.548654716308302,41.94671407910654,26.362618339749712,0.6284787478235585,-0.6700641345342593,0.001469882,0.000705562,Downregulated,Expressed
ENSRNOG00000000043,17.09993526992072,17.616539754013615,17.64344802762004,15.776550889588504,16.351120716093018,16.86578223641563,17.444338259315984,16.33115128069905,0.9361863452732323,-0.09513237208301531,1.0,0.8470143059999999,Nondifferential,Expressed
ENSRNOG00000000044,15.68975017709727,16.523227145691692,14.204714506953328,15.17555090414403,16.114812040045546,16.11489154708654,16.24540148949355,15.801751497092036,0.9726907338862363,-0.03994692052008872,0.780907032,0.481241573,Nondifferential,Expressed
